ano;cd_ops;trimestre;receita;despesa;benef;modalidade;contratacao
2018;301728;2018Q1;50926,86;19552,32;62,0;Medicina de Grupo;Individual
2018;301728;2018Q2;11064,77;18742,63;61,0;Medicina de Grupo;Individual
2018;301728;2018Q3;31565,79;13421,6;61,0;Medicina de Grupo;Individual
2018;301728;2018Q4;31871,35;26065,8;61,0;Medicina de Grupo;Individual
2018;302147;2018Q1;697325893,1;463230201,2;372087,0;Medicina de Grupo;Individual
2018;302147;2018Q2;724091634,9;496132764,9;386305,0;Medicina de Grupo;Individual
2018;302147;2018Q3;777030600,7;499499348,2;395687,0;Medicina de Grupo;Individual
2018;302147;2018Q4;827138634,4;511219663,1;405498,0;Medicina de Grupo;Individual
2018;303623;2018Q1;96059348,96;68698673,1;64091,0;Medicina de Grupo;Individual
2018;303623;2018Q2;94820168,24;72045878,2;62535,0;Medicina de Grupo;Individual
2018;303623;2018Q3;97967119,07;67857286,8;61472,0;Medicina de Grupo;Individual
2018;303623;2018Q4;100010126,7;68078528,45;60242,0;Medicina de Grupo;Individual
2018;303739;2018Q1;4735046,7;3644344,81;6166,0;Medicina de Grupo;Individual
2018;303739;2018Q2;4940658,55;3070079,69;6154,0;Medicina de Grupo;Individual
2018;303739;2018Q3;5084286,78;3216085,43;6105,0;Medicina de Grupo;Individual
2018;303739;2018Q4;5119704,9;2895874,92;6050,0;Medicina de Grupo;Individual
2018;304531;2018Q1;1465386,56;707980,23;4788,0;Medicina de Grupo;Individual
2018;304531;2018Q2;1446310,18;802337,79;4678,0;Medicina de Grupo;Individual
2018;304531;2018Q3;1671686,07;781048,33;4641,0;Medicina de Grupo;Individual
2018;304531;2018Q4;1268082,59;832605,98;4588,0;Medicina de Grupo;Individual
2018;305626;2018Q1;700663,96;439807,7;1298,0;Medicina de Grupo;Individual
2018;305626;2018Q2;722970,59;581430,53;1325,0;Medicina de Grupo;Individual
2018;305626;2018Q3;744350,68;642463,21;1366,0;Medicina de Grupo;Individual
2018;305626;2018Q4;764022,93;596753,69;1362,0;Medicina de Grupo;Individual
2018;305928;2018Q1;786349,18;435485,61;954,0;Medicina de Grupo;Individual
2018;305928;2018Q2;784236,09;245917,89;941,0;Medicina de Grupo;Individual
2018;305928;2018Q3;793531,6;451329,84;928,0;Medicina de Grupo;Individual
2018;305928;2018Q4;817840,29;509961,44;919,0;Medicina de Grupo;Individual
2018;309222;2018Q1;102471328,8;54519036,02;84662,0;Medicina de Grupo;Individual
2018;309222;2018Q2;104322793,5;66606863,86;85659,0;Medicina de Grupo;Individual
2018;309222;2018Q3;107580692,7;65739894,9;84875,0;Medicina de Grupo;Individual
2018;309222;2018Q4;110816222,2;71920679,54;81798,0;Medicina de Grupo;Individual
2018;310239;2018Q1;20755,07;14704,89;101,0;Medicina de Grupo;Individual
2018;310239;2018Q2;27708,61;15016,26;102,0;Medicina de Grupo;Individual
2018;310239;2018Q3;22247,66;17063,25;100,0;Medicina de Grupo;Individual
2018;310239;2018Q4;21341,27;12738,23;100,0;Medicina de Grupo;Individual
2018;310247;2018Q1;8771807,45;5445754,04;8855,0;Medicina de Grupo;Individual
2018;310247;2018Q2;8756266,02;6642690,2;8622,0;Medicina de Grupo;Individual
2018;310247;2018Q3;8947596,33;5692670,2;8551,0;Medicina de Grupo;Individual
2018;310247;2018Q4;8925741,23;5951847,49;8390,0;Medicina de Grupo;Individual
2018;311359;2018Q1;7874170,24;6192758,83;11503,0;Medicina de Grupo;Individual
2018;311359;2018Q2;8071997,8;7370499,96;11580,0;Medicina de Grupo;Individual
2018;311359;2018Q3;8369928,08;7150420,99;11712,0;Medicina de Grupo;Individual
2018;311359;2018Q4;8628165,84;6221902,27;11753,0;Medicina de Grupo;Individual
2018;311472;2018Q1;500172,22;286906,79;797,0;Medicina de Grupo;Individual
2018;311472;2018Q2;505280,71;360310,46;776,0;Medicina de Grupo;Individual
2018;311472;2018Q3;512314,96;330928,12;765,0;Medicina de Grupo;Individual
2018;311472;2018Q4;520929,16;290239,22;745,0;Medicina de Grupo;Individual
2018;312282;2018Q1;1084184,86;427542,89;761,0;Medicina de Grupo;Individual
2018;312282;2018Q2;1116770,91;375484,5;784,0;Medicina de Grupo;Individual
2018;312282;2018Q3;1186649,37;435820,09;809,0;Medicina de Grupo;Individual
2018;312282;2018Q4;1249233,22;529807,37;815,0;Medicina de Grupo;Individual
2018;315265;2018Q1;5210232,36;3851880,77;6879,0;Medicina de Grupo;Individual
2018;315265;2018Q2;5193104,34;4487932,29;6688,0;Medicina de Grupo;Individual
2018;315265;2018Q3;5262903,42;4202426,83;6472,0;Medicina de Grupo;Individual
2018;315265;2018Q4;5227114,92;3692812,64;6247,0;Medicina de Grupo;Individual
2018;318477;2018Q1;6888055,43;4162987,82;6611,0;Medicina de Grupo;Individual
2018;318477;2018Q2;5637007,07;4617543,98;5730,0;Medicina de Grupo;Individual
2018;318477;2018Q3;5158358,85;4235521,22;5175,0;Medicina de Grupo;Individual
2018;318477;2018Q4;4843546,36;4165984,08;4886,0;Medicina de Grupo;Individual
2018;319180;2018Q1;2610294,51;2210420,59;3139,0;Medicina de Grupo;Individual
2018;319180;2018Q2;2604835,95;2111051,3;3071,0;Medicina de Grupo;Individual
2018;319180;2018Q3;2722243,35;1414495,98;3021,0;Medicina de Grupo;Individual
2018;319180;2018Q4;2698089,47;1516746,51;2960,0;Medicina de Grupo;Individual
2018;319872;2018Q1;1640275,54;1114060,01;36543,0;Medicina de Grupo;Individual
2018;319872;2018Q2;2030058,5;1310194,85;35223,0;Medicina de Grupo;Individual
2018;319872;2018Q3;2151180,93;1663325,4;31038,0;Medicina de Grupo;Individual
2018;319872;2018Q4;2365041,03;1733885,25;28715,0;Medicina de Grupo;Individual
2018;320510;2018Q1;5327981,83;5263532,56;4732,0;Medicina de Grupo;Individual
2018;320510;2018Q2;5322017,01;4947095,68;4667,0;Medicina de Grupo;Individual
2018;320510;2018Q3;5442233,29;4452632,98;4568,0;Medicina de Grupo;Individual
2018;320510;2018Q4;5543546,52;3951420,91;4499,0;Medicina de Grupo;Individual
2018;324299;2018Q1;1369616,42;1397718,35;3367,0;Medicina de Grupo;Individual
2018;324299;2018Q2;1550123,89;1458225,14;3357,0;Medicina de Grupo;Individual
2018;324299;2018Q3;1874565,23;1879564,87;3351,0;Medicina de Grupo;Individual
2018;324299;2018Q4;1609864,41;2283544,49;3334,0;Medicina de Grupo;Individual
2018;325236;2018Q1;4575562,26;2540211,87;8985,0;Medicina de Grupo;Individual
2018;325236;2018Q2;4864292,84;2974271,96;9010,0;Medicina de Grupo;Individual
2018;325236;2018Q3;4926735,66;3382711,28;8898,0;Medicina de Grupo;Individual
2018;325236;2018Q4;4998801,16;2996242,26;8910,0;Medicina de Grupo;Individual
2018;325465;2018Q1;504957,57;217226,28;657,0;Medicina de Grupo;Individual
2018;325465;2018Q2;452699,38;215986,4;591,0;Medicina de Grupo;Individual
2018;325465;2018Q3;447513,69;266082,4;542,0;Medicina de Grupo;Individual
2018;325465;2018Q4;421787,4;229441,39;520,0;Medicina de Grupo;Individual
2018;326305;2018Q1;849799796,5;790768701,5;491934,0;Medicina de Grupo;Individual
2018;326305;2018Q2;850368721,5;849704259,3;479142,0;Medicina de Grupo;Individual
2018;326305;2018Q3;854659365,9;892607769,2;467106,0;Medicina de Grupo;Individual
2018;326305;2018Q4;874603739,8;882145947,7;457916,0;Medicina de Grupo;Individual
2018;326500;2018Q1;30753904,43;17024503,4;25743,0;Medicina de Grupo;Individual
2018;326500;2018Q2;29733344,19;17592404,62;25576,0;Medicina de Grupo;Individual
2018;326500;2018Q3;30768725,51;18672381,41;25214,0;Medicina de Grupo;Individual
2018;326500;2018Q4;31117766,97;17089277,9;24758,0;Medicina de Grupo;Individual
2018;327328;2018Q1;326345,41;247004,0;234,0;Medicina de Grupo;Individual
2018;327328;2018Q2;319446,48;243263,0;256,0;Medicina de Grupo;Individual
2018;327328;2018Q3;321804,08;248397,0;277,0;Medicina de Grupo;Individual
2018;327328;2018Q4;308559,92;205442,0;269,0;Medicina de Grupo;Individual
2018;327417;2018Q1;20337070,9;13823062,22;26787,0;Medicina de Grupo;Individual
2018;327417;2018Q2;20662068,1;16459287,97;26864,0;Medicina de Grupo;Individual
2018;327417;2018Q3;21631916,13;16230847,92;26965,0;Medicina de Grupo;Individual
2018;327417;2018Q4;22017756,15;15372375,38;27096,0;Medicina de Grupo;Individual
2018;328537;2018Q1;18674581,47;11638033,23;29637,0;Medicina de Grupo;Individual
2018;328537;2018Q2;18883817,95;15445309,56;29535,0;Medicina de Grupo;Individual
2018;328537;2018Q3;19803902,32;15430039,91;28729,0;Medicina de Grupo;Individual
2018;328537;2018Q4;19375064,18;15699119,4;27812,0;Medicina de Grupo;Individual
2018;330892;2018Q1;354777,35;148114,55;683,0;Medicina de Grupo;Individual
2018;330892;2018Q2;371504,63;234149,9;700,0;Medicina de Grupo;Individual
2018;330892;2018Q3;380967,84;456421,41;700,0;Medicina de Grupo;Individual
2018;330892;2018Q4;383145,61;196350,03;711,0;Medicina de Grupo;Individual
2018;335614;2018Q1;41647564,82;17947538,89;20947,0;Medicina de Grupo;Individual
2018;335614;2018Q2;45828376,66;20841802,07;22990,0;Medicina de Grupo;Individual
2018;335614;2018Q3;50440000,33;24169425,73;24487,0;Medicina de Grupo;Individual
2018;335614;2018Q4;56103498,24;24025853,87;26718,0;Medicina de Grupo;Individual
2018;337510;2018Q1;24831124,11;15133387,15;40569,0;Medicina de Grupo;Individual
2018;337510;2018Q2;25555499,29;16165069,55;41109,0;Medicina de Grupo;Individual
2018;337510;2018Q3;26580437,59;16230426,1;41546,0;Medicina de Grupo;Individual
2018;337510;2018Q4;27395082,12;14012657,63;41733,0;Medicina de Grupo;Individual
2018;340146;2018Q1;5803991,72;3863170,9;3705,0;Medicina de Grupo;Individual
2018;340146;2018Q2;5215697,55;5355125,66;3318,0;Medicina de Grupo;Individual
2018;340146;2018Q3;4626785,34;2461195,75;2927,0;Medicina de Grupo;Individual
2018;340146;2018Q4;4191395,22;2765941,98;2679,0;Medicina de Grupo;Individual
2018;340162;2018Q1;3379497,16;1387192,57;7207,0;Medicina de Grupo;Individual
2018;340162;2018Q2;3516008,13;1695505,43;7339,0;Medicina de Grupo;Individual
2018;340162;2018Q3;3807736,63;1524813,11;7241,0;Medicina de Grupo;Individual
2018;340162;2018Q4;3841003,17;3105195,76;7622,0;Medicina de Grupo;Individual
2018;340782;2018Q1;79088440,12;50380748,23;135587,0;Medicina de Grupo;Individual
2018;340782;2018Q2;83212392,08;59168834,18;140215,0;Medicina de Grupo;Individual
2018;340782;2018Q3;90340530,81;60298604,1;143248,0;Medicina de Grupo;Individual
2018;340782;2018Q4;92221929,86;61560513,46;143827,0;Medicina de Grupo;Individual
2018;341941;2018Q1;1620865,09;823160,79;1469,0;Medicina de Grupo;Individual
2018;341941;2018Q2;1613174,4;789445,58;1443,0;Medicina de Grupo;Individual
2018;341941;2018Q3;1638762,35;1465578,62;1428,0;Medicina de Grupo;Individual
2018;341941;2018Q4;1665713,11;1343035,68;1411,0;Medicina de Grupo;Individual
2018;342033;2018Q1;6557846,67;6789235,32;7308,0;Medicina de Grupo;Individual
2018;342033;2018Q2;6771974,26;4921984,89;6978,0;Medicina de Grupo;Individual
2018;342033;2018Q3;6709225,59;6131243,89;6615,0;Medicina de Grupo;Individual
2018;342033;2018Q4;6554612,22;5406496,75;6288,0;Medicina de Grupo;Individual
2018;343064;2018Q1;13940015,45;11400045,58;21266,0;Medicina de Grupo;Individual
2018;343064;2018Q2;14599619,2;10300790,71;21202,0;Medicina de Grupo;Individual
2018;343064;2018Q3;15098000,63;11652999,75;21289,0;Medicina de Grupo;Individual
2018;343064;2018Q4;15725705,97;8983205,45;21069,0;Medicina de Grupo;Individual
2018;343463;2018Q1;11347441,98;4140964,27;15383,0;Medicina de Grupo;Individual
2018;343463;2018Q2;11991410,3;4278659,88;15602,0;Medicina de Grupo;Individual
2018;343463;2018Q3;12455946,34;4642766,53;15348,0;Medicina de Grupo;Individual
2018;343463;2018Q4;13749170,05;5505026,21;15094,0;Medicina de Grupo;Individual
2018;343676;2018Q1;16736067,82;9614811,32;11061,0;Medicina de Grupo;Individual
2018;343676;2018Q2;17232359,17;10074669,14;11073,0;Medicina de Grupo;Individual
2018;343676;2018Q3;18132199,52;11395811,11;11023,0;Medicina de Grupo;Individual
2018;343676;2018Q4;18424931,83;10595596,84;11006,0;Medicina de Grupo;Individual
2018;344362;2018Q1;29285773,34;20057000,84;40995,0;Medicina de Grupo;Individual
2018;344362;2018Q2;29844780,49;21776883,95;40734,0;Medicina de Grupo;Individual
2018;344362;2018Q3;30747948,5;20493010,93;40871,0;Medicina de Grupo;Individual
2018;344362;2018Q4;31531793,05;19959194,94;40731,0;Medicina de Grupo;Individual
2018;344800;2018Q1;4618104,79;3066432,1;3584,0;Medicina de Grupo;Individual
2018;344800;2018Q2;4866647,65;3390727,09;3665,0;Medicina de Grupo;Individual
2018;344800;2018Q3;5171214,69;3498384,38;3498,0;Medicina de Grupo;Individual
2018;344800;2018Q4;5359644,74;3245170,61;3513,0;Medicina de Grupo;Individual
2018;346870;2018Q1;663310,29;870578,92;1171,0;Medicina de Grupo;Individual
2018;346870;2018Q2;692167,6;489911,02;1171,0;Medicina de Grupo;Individual
2018;346870;2018Q3;689618,31;426833,21;1157,0;Medicina de Grupo;Individual
2018;346870;2018Q4;703915,7;483972,87;1163,0;Medicina de Grupo;Individual
2018;348180;2018Q1;6802794,4;2973263,5;8064,0;Medicina de Grupo;Individual
2018;348180;2018Q2;6851911,96;3415837,01;7979,0;Medicina de Grupo;Individual
2018;348180;2018Q3;6976694,53;2978461,79;7916,0;Medicina de Grupo;Individual
2018;348180;2018Q4;6999959,6;3203892,15;7852,0;Medicina de Grupo;Individual
2018;348520;2018Q1;33631723,87;24033625,88;34914,0;Medicina de Grupo;Individual
2018;348520;2018Q2;33473863,86;25478562,32;34707,0;Medicina de Grupo;Individual
2018;348520;2018Q3;34077627,5;25492451,68;33575,0;Medicina de Grupo;Individual
2018;348520;2018Q4;33820693,84;22425763,81;32017,0;Medicina de Grupo;Individual
2018;349682;2018Q1;4323356,53;1842019,68;6336,0;Medicina de Grupo;Individual
2018;349682;2018Q2;4477666,35;2250450,02;6541,0;Medicina de Grupo;Individual
2018;349682;2018Q3;4832988,0;2555292,95;6728,0;Medicina de Grupo;Individual
2018;349682;2018Q4;5067395,09;2916035,57;7004,0;Medicina de Grupo;Individual
2018;350141;2018Q1;675447,01;380745,14;391,0;Medicina de Grupo;Individual
2018;350141;2018Q2;700748,89;625173,74;389,0;Medicina de Grupo;Individual
2018;350141;2018Q3;705659,26;780502,58;380,0;Medicina de Grupo;Individual
2018;350141;2018Q4;702633,64;539669,57;375,0;Medicina de Grupo;Individual
2018;350249;2018Q1;33337145,11;21880706,31;41687,0;Medicina de Grupo;Individual
2018;350249;2018Q2;34012717,83;23979947,95;41915,0;Medicina de Grupo;Individual
2018;350249;2018Q3;35076024,29;24097377,01;41895,0;Medicina de Grupo;Individual
2018;350249;2018Q4;35625974,35;24627438,98;41583,0;Medicina de Grupo;Individual
2018;350699;2018Q1;6561011,21;1009220,98;5204,0;Medicina de Grupo;Individual
2018;350699;2018Q2;6663038,15;1126751,65;5215,0;Medicina de Grupo;Individual
2018;350699;2018Q3;6919322,58;1323984,47;5127,0;Medicina de Grupo;Individual
2018;350699;2018Q4;7051892,92;1153474,74;5076,0;Medicina de Grupo;Individual
2018;350729;2018Q1;4610844,12;2964755,56;4777,0;Medicina de Grupo;Individual
2018;350729;2018Q2;4698869,43;3337426,87;4924,0;Medicina de Grupo;Individual
2018;350729;2018Q3;4914696,27;3928642,64;4889,0;Medicina de Grupo;Individual
2018;350729;2018Q4;4972497,32;3284203,5;4814,0;Medicina de Grupo;Individual
2018;351270;2018Q1;1758538,91;956473,55;2321,0;Medicina de Grupo;Individual
2018;351270;2018Q2;1730331,56;1009526,05;2258,0;Medicina de Grupo;Individual
2018;351270;2018Q3;1749611,74;1646694,94;2231,0;Medicina de Grupo;Individual
2018;351270;2018Q4;1780491,9;1010836,59;2210,0;Medicina de Grupo;Individual
2018;352586;2018Q1;1435494,11;73218,0;992,0;Medicina de Grupo;Individual
2018;352586;2018Q2;1423888,6;8480,0;972,0;Medicina de Grupo;Individual
2018;352586;2018Q3;1460273,34;70722,5;960,0;Medicina de Grupo;Individual
2018;352586;2018Q4;1473688,0;19875,0;938,0;Medicina de Grupo;Individual
2018;354511;2018Q1;28729315,25;23183620,34;14163,0;Medicina de Grupo;Individual
2018;354511;2018Q2;30582726,63;22931441,04;14045,0;Medicina de Grupo;Individual
2018;354511;2018Q3;31443159,53;24597120,21;14094,0;Medicina de Grupo;Individual
2018;354511;2018Q4;33415305,99;24948145,95;14205,0;Medicina de Grupo;Individual
2018;355097;2018Q1;117949702,9;43300484,98;129686,0;Medicina de Grupo;Individual
2018;355097;2018Q2;133091596,4;53368544,88;132810,0;Medicina de Grupo;Individual
2018;355097;2018Q3;124228611,6;56048351,17;137348,0;Medicina de Grupo;Individual
2018;355097;2018Q4;158121385,6;58180064,89;141630,0;Medicina de Grupo;Individual
2018;358053;2018Q1;867514,57;745153,21;1130,0;Medicina de Grupo;Individual
2018;358053;2018Q2;875398,32;709205,99;1136,0;Medicina de Grupo;Individual
2018;358053;2018Q3;919207,4;754397,48;1128,0;Medicina de Grupo;Individual
2018;358053;2018Q4;947176,71;672072,6;1151,0;Medicina de Grupo;Individual
2018;358509;2018Q1;1576968,68;1108465,83;1014,0;Medicina de Grupo;Individual
2018;358509;2018Q2;1588502,29;1150165,39;1006,0;Medicina de Grupo;Individual
2018;358509;2018Q3;1640072,49;981549,81;988,0;Medicina de Grupo;Individual
2018;358509;2018Q4;1623351,8;1078274,08;974,0;Medicina de Grupo;Individual
2018;359017;2018Q1;28689654,48;22628018,43;58784,0;Medicina de Grupo;Individual
2018;359017;2018Q2;54936809,86;20146184,64;58436,0;Medicina de Grupo;Individual
2018;359017;2018Q3;56280563,79;176435436,9;56272,0;Medicina de Grupo;Individual
2018;359017;2018Q4;55489106,29;63644498,26;54876,0;Medicina de Grupo;Individual
2018;359661;2018Q1;73275904,56;50596970,69;8084,0;Medicina de Grupo;Individual
2018;359661;2018Q2;73897698,64;55869310,6;7917,0;Medicina de Grupo;Individual
2018;359661;2018Q3;76136270,12;56734408,28;7761,0;Medicina de Grupo;Individual
2018;359661;2018Q4;75726234,16;54284896,51;7617,0;Medicina de Grupo;Individual
2018;360244;2018Q1;31074748,31;22050146,47;21860,0;Medicina de Grupo;Individual
2018;360244;2018Q2;31665942,0;20579821,93;23279,0;Medicina de Grupo;Individual
2018;360244;2018Q3;33294497,1;23676994,32;24147,0;Medicina de Grupo;Individual
2018;360244;2018Q4;34587672,06;23517964,16;25113,0;Medicina de Grupo;Individual
2018;361852;2018Q1;56320,37;20819,25;81,0;Medicina de Grupo;Individual
2018;361852;2018Q2;57584,44;17771,97;79,0;Medicina de Grupo;Individual
2018;361852;2018Q3;58972,55;21772,05;76,0;Medicina de Grupo;Individual
2018;361852;2018Q4;56554,46;25517,22;74,0;Medicina de Grupo;Individual
2018;363189;2018Q1;1349948,7;895287,93;1343,0;Medicina de Grupo;Individual
2018;363189;2018Q2;1352687,68;740142,78;1331,0;Medicina de Grupo;Individual
2018;363189;2018Q3;1384432,57;1133192,63;1299,0;Medicina de Grupo;Individual
